행정구,행정동,갈비/삼겹살,닭/오리요리,분식,양식,유흥주점,일식/수산물,제과제빵떡케익,커피점/카페,패스트푸드,한식/백반/한정식,총생활인구수_평일,10대 미만 생활인구_평일,10대 생활인구_평일,20~30대 생활인구_평일,40~50대 생활인구_평일,60대 생활인구_평일,70대 이상 생활인구_평일,총생활인구수_주말,10대 미만 생활인구_주말,10대 생활인구_주말,20~30대 생활인구_주말,40~50대 생활인구_주말,60대 생활인구_주말,70대 이상 생활인구_주말,대학교(전체),일반대학,온라인대학,초중고(전체),초등학교,중학교,고등학교,총인구수,총가구수,가구당인구수,평균소득금액,상권변화지표,운영점포영업개월,폐업점포영업개월,10대 미만,10대,20 ~ 30대,40 ~ 50대,60대,70대 이상,총인구,역(전체),역(환승역)
강북구,수유2동,9,24,20,7,26,14,13,22,14,61,419612.4794,25854.9735,31017.20535,103752.3318,129973.6555,57206.31074,71808.00396,450687.4091,28832.64153,36131.22219,111892.432,142506.4575,58860.15483,72464.50139,0,0,0,0,0,0,0,20591,8792,2.34,3657.81,LL,109.0,54.0,936,1318,5311,6548,3517,3465,21095,1,0
강북구,수유3동,13,31,40,19,133,41,16,60,13,182,655305.3568,23716.93496,35977.22897,230519.7371,203674.712,77768.28485,83648.45872,691296.5151,31753.86809,44930.72338,254568.8131,201607.2562,77491.61955,80944.23566,0,0,0,1,0,1,0,22975,11766,1.95,3657.81,LL,113.0,50.0,688,1078,8065,7038,3581,3205,23655,1,0
강북구,우이동,8,22,25,7,24,15,8,42,4,115,428274.5109,27066.37971,32066.09696,115652.988,126347.557,56079.97437,71061.51629,496574.1744,30417.7516,37695.98086,135155.8671,153340.753,63862.64069,76101.18258,0,0,0,1,0,1,0,20038,8360,2.4,3668.815,LL,112.0,55.0,916,1340,5059,6362,3371,3367,20415,3,0
강북구,인수동,8,4,23,5,23,5,5,33,9,74,661417.6817,53291.79654,52277.43408,161965.6377,200149.7573,83755.60218,109977.454,691596.808,47820.34968,53618.39156,176695.0905,211438.9361,88617.76654,113406.2733,0,0,0,3,2,1,0,30449,12900,2.36,3657.81,LL,112.0,52.0,1319,2023,7408,9321,5118,4801,29990,0,0
도봉구,창1동,4,8,17,5,15,17,9,35,7,33,483043.4515,33690.36308,46147.96054,122398.0429,150642.5886,61568.25952,68596.23624,507364.7335,31631.25996,43070.17565,135484.2651,163275.6862,63653.76166,70249.58418,0,0,0,4,1,2,1,24432,10183,2.4,3733.22,LL,109.0,53.0,1306,2030,6344,8087,3626,3158,24551,1,0
도봉구,창2동,5,10,17,4,18,14,7,25,10,40,661870.9504,48924.87972,52663.16045,183673.0563,200644.7646,84742.99043,91222.0993,710704.8749,50909.74206,57832.01575,204866.9649,216876.5034,87623.55308,92596.09649,0,0,0,1,1,0,0,29054,11524,2.52,3733.22,LL,115.0,53.0,1521,2127,7998,9455,4271,3616,28988,0,0
도봉구,창3동,6,19,16,3,23,10,12,19,5,31,237878.4046,18972.8138,20018.18652,52594.22658,78920.40254,32119.49032,35253.28586,255856.5953,18624.15885,22206.77508,59450.90408,86158.60153,33141.68623,36274.4714,0,0,0,2,2,0,0,13933,5977,2.33,3733.22,LL,113.0,56.0,628,989,3234,4526,2287,2044,13708,0,0
도봉구,창4동,9,10,12,4,13,15,13,22,5,31,666749.5672,46873.35287,73944.84018,158281.1713,215172.7071,85566.215,86911.28324,699069.8471,45533.46283,69016.24621,173261.1373,230478.9134,90683.00764,90097.08185,0,0,0,5,2,1,2,26182,10018,2.61,3733.22,HL,127.0,54.0,1513,2483,6621,8867,3834,2853,26171,3,2
도봉구,창5동,7,15,22,5,19,8,11,33,19,36,470237.538,35987.2633,42325.65389,123370.8037,143042.9266,64441.55763,61069.33285,493490.9851,37732.98115,46196.05491,134403.948,148611.4344,65550.46621,60996.10206,0,0,0,3,3,0,0,24454,9625,2.54,3733.22,LL,112.0,52.0,1342,1811,6914,7584,3884,2857,24392,0,0
도봉구,도봉1동,16,16,18,7,36,17,10,36,5,80,439095.9825,24928.09746,26062.2549,94094.39552,135728.5727,68959.51566,89323.14428,483480.897,26404.29398,28523.75409,103496.7575,150451.8584,78504.83503,96099.39713,0,0,0,4,2,1,1,20685,9222,2.24,3597.97,HL,123.0,55.0,723,1083,4610,6327,3954,4013,20710,0,0
